"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, spei
1987-03, -0.790239451609727
1987-04, -1.15318630363953
1987-05, -1.02467309403423
1987-06, -0.965702415037753
1987-07, -1.35699695548982
1987-08, -1.18391268821769
1987-09, -1.2641978814322
1987-10, -0.659888360406504
1987-11, -0.136105823604134
1987-12, 0.173361477478519
1988-01, -0.075646332448879
1988-02, -0.419729967447468
1988-03, -0.42222525198603
1988-04, -0.425535565955576
1988-05, -0.430210969159164
1988-06, -0.130144579975807
1988-07, -0.556040911214019
1988-08, -0.570759419479802
1988-09, -0.531489884592482
1988-10, -1.26807518730877
1988-11, -1.76960481938974
1988-12, -1.7860154188643
1989-01, -1.82961874931583
1989-02, -1.96004673607083
1989-03, -2.03156317309901
1989-04, -2.03467883598605
1989-05, -2.32373699080611
1989-06, -2.5694986541655
